"","Actor1CountryCode","Actor2CountryCode","AvgTone","NumArticles","SQLDATE","Year","Actor1Geo_Lat","Actor1Geo_Long","ActionGeo_CountryCode","EventCode","EventRootCode","Actor1Geo_CountryCode","Actor2Geo_CountryCode","SOURCEURL"
"9548","EGY",NA,"0.904977375565611","1","20140728","2014","36.3667","38.8833","SY","190","19","SY",NA,"http://al-shorfa.com/en_GB/articles/meii/newsbriefs/2014/07/28/newsbrief-07"
"9549",NA,NA,"2.65654648956357","2","20140819","2014","35.95","39.0167","SY","190","19","SY",NA,"http://newsblaze.com/story/20140820042139kaj1.nb/topstory.html"
"9550","USA",NA,"0.798722044728434","8","20141023","2014","35.95","39.0167","SY","195","19","SY",NA,"http://www.inlandnewstoday.com/story.php?s=35341"
"9551","SYR",NA,"0.26246719160105","5","20150817","2015","35.95","39.0167","SY","192","19","SY",NA,"http://www.dailymail.co.uk/news/article-3201290/All-THREE-London-schoolgirls-lured-Syria-ISIS-jihadi-brides-picking-favourites-catalogue-western-men-family-reveal-touch-Instagram.html"
"9552","SYR",NA,"0.850661625708885","8","20131127","2013","35.95","39.0167","SY","190","19","SY",NA,"http://english.farsnews.com/newstext.aspx?nn=13920906001507"
"9553",NA,NA,"-10.5058365758755","10","20150304","2015","35.95","39.0167","SY","190","19","SY",NA,"http://pulse.ng/world/isis-islamic-fundamentalist-group-throws-another-gay-man-off-building-id3538762.html"
"9554","SYR",NA,"0","30","20141226","2014","35.95","39.0167","SY","181","18","SY",NA,"http://www.newkerala.com/news/2014/fullnews-143408.html"
"9555","SYR",NA,"0.65970550462507","60","20140724","2014","35.95","39.0167","SY","190","19","SY",NA,"http://www.arabtimesonline.com/NewsDetails/tabid/96/smid/414/ArticleID/207990/reftab/36/t/Islamic-State-militants-seize-part-of-north-Syria-army-base/Default.aspx"
"9556","SYR",NA,"-2.39076669414674","2","20150802","2015","35.95","39.0167","SY","180","18","SY",NA,"http://www.post-gazette.com/news/world/2015/08/02/Despite-bombing-Islamic-State-is-no-weaker-than-a-year-ago-2/stories/201508020152"
"9557","SYR",NA,"-4.81919541954829","29","20160404","2016","35.95","39.0167","SY","190","19","SY",NA,"http://bsccomment.com/2016/04/04/mass-grave-of-40-found-in-palmyra.html"
"9558","SYR",NA,"-6.0117011070251465","48","20160227","2016","35.950000762939453","39.016700744628906","SY","180","18","SY",NA,"http://www.kitv.com/story/31330170/isis-fast-facts"
"9559","SYR",NA,"0.276817006167643","20","20140429","2014","35.95","39.0167","SY","193","19","SY",NA,"http://news.gnom.es/news/al-qaeda-linked-jihadists-accused-of-hanging-victims-on-crosses"
"9560",NA,NA,"-9.5501730103806","4","20150302","2015","35.95","39.0167","SY","1821","18","SY",NA,"http://www.refworld.org/docid/54f4724a15.html"
"9561","IRQ",NA,"-5.50592434038347","5","20151228","2015","35.95","39.0167","SY","192","19","SY",NA,"http://nysepost.com/iraqi-army-declares-victory-over-is-recaptures-ramadi-85774"
"9562","SYR",NA,"1.63664341746534","10","20140612","2014","35.95","39.0167","SY","192","19","SY",NA,"http://www.thedenverchannel.com/news/u-s-world/militants-overrun-most-of-major-iraq-city-as-thousands-of-residents-flee"
"9563",NA,NA,"-8.78734622144114","8","20151114","2015","35.95","39.0167","SY","190","19","SY",NA,"http://www.kuna.net.kw/ArticleDetails.aspx?id=2471841&Language=en"
"9564",NA,NA,"-7.32340464248752","10","20150707","2015","35.95","39.0167","SY","190","19","SY",NA,"http://www.rep-am.com/articles/2015/07/07/news/national/892959.txt"
"9565","SYR",NA,"1.37650303955438","8","20141224","2014","35.95","39.0167","SY","192","19","SY",NA,"http://www.toledoblade.com/World/2014/12/24/43-killed-in-Iraq-suicide-attack-as-Islamic-State-seizes-downed-pilot.html"
